Displayname,Alertname,TimeRaised,TimeStopped
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,12/09/2017 10:05,12/09/2017 10:45
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,12/09/2017 12:15,12/09/2017 12:35
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,12/09/2017 18:15,12/09/2017 18:20
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,12/09/2017 18:50,12/09/2017 18:55
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,12/09/2017 20:20,12/09/2017 20:50
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,12/09/2017 22:20,12/09/2017 22:45
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,13/09/2017 02:25,13/09/2017 02:50
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,13/09/2017 03:55,13/09/2017 04:00
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,13/09/2017 06:25,13/09/2017 06:50
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,13/09/2017 10:25,13/09/2017 10:40
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,13/09/2017 16:35,13/09/2017 17:00
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,13/09/2017 18:35,13/09/2017 18:50
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,13/09/2017 20:40,13/09/2017 20:50
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,13/09/2017 22:40,13/09/2017 23:05
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,14/09/2017 00:40,14/09/2017 00:50
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,14/09/2017 02:40,14/09/2017 02:55
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,14/09/2017 03:50,14/09/2017 04:00
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,14/09/2017 04:40,14/09/2017 04:50
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,14/09/2017 06:45,14/09/2017 07:05
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,14/09/2017 08:45,14/09/2017 08:55
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,14/09/2017 10:45,14/09/2017 10:55
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,14/09/2017 15:40,14/09/2017 15:45
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,14/09/2017 16:50,14/09/2017 16:55
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,14/09/2017 18:50,14/09/2017 19:25
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,15/09/2017 02:15,15/09/2017 02:20
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,15/09/2017 02:55,15/09/2017 03:05
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,15/09/2017 07:00,15/09/2017 07:10
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,15/09/2017 15:10,15/09/2017 15:15
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,15/09/2017 17:10,15/09/2017 17:15
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,15/09/2017 19:10,15/09/2017 19:30
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,15/09/2017 21:15,15/09/2017 21:25
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,15/09/2017 23:20,15/09/2017 23:25
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,16/09/2017 01:10,16/09/2017 01:20
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,16/09/2017 03:55,16/09/2017 04:00
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,16/09/2017 07:20,16/09/2017 07:35
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,16/09/2017 09:25,16/09/2017 09:35
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,16/09/2017 11:20,16/09/2017 11:35
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,16/09/2017 13:25,16/09/2017 13:45
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,16/09/2017 15:25,16/09/2017 15:50
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,16/09/2017 17:25,16/09/2017 17:35
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,16/09/2017 19:30,16/09/2017 19:45
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,16/09/2017 21:35,16/09/2017 21:50
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,17/09/2017 05:35,17/09/2017 05:45
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,17/09/2017 07:35,17/09/2017 07:50
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,17/09/2017 09:35,17/09/2017 09:50
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,17/09/2017 11:40,17/09/2017 11:45
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,17/09/2017 13:40,17/09/2017 14:00
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,17/09/2017 15:40,17/09/2017 15:50
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,17/09/2017 17:45,17/09/2017 17:50
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,17/09/2017 19:35,17/09/2017 19:50
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,17/09/2017 21:45,17/09/2017 22:05
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,18/09/2017 03:50,18/09/2017 04:10
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,18/09/2017 05:50,18/09/2017 06:05
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,18/09/2017 07:50,18/09/2017 07:55
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,18/09/2017 09:40,18/09/2017 09:55
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,18/09/2017 11:20,18/09/2017 12:05
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,18/09/2017 13:10,18/09/2017 13:20
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,18/09/2017 14:10,18/09/2017 15:05
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,19/09/2017 10:00,19/09/2017 10:05
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,19/09/2017 12:05,19/09/2017 13:00
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,19/09/2017 14:00,19/09/2017 14:10
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,19/09/2017 15:15,19/09/2017 15:20
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,19/09/2017 16:05,19/09/2017 17:25
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,19/09/2017 18:15,19/09/2017 23:20
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,20/09/2017 08:15,20/09/2017 08:40
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,20/09/2017 12:25,20/09/2017 12:35
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,20/09/2017 16:35,20/09/2017 16:55
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,20/09/2017 18:35,20/09/2017 18:50
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,20/09/2017 20:35,20/09/2017 20:50
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,20/09/2017 22:35,20/09/2017 22:50
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,21/09/2017 02:45,21/09/2017 02:55
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,21/09/2017 03:50,21/09/2017 04:00
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,21/09/2017 04:45,21/09/2017 04:50
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,21/09/2017 06:45,21/09/2017 06:50
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,21/09/2017 10:40,21/09/2017 10:55
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,21/09/2017 14:45,21/09/2017 14:50
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,21/09/2017 18:55,21/09/2017 19:15
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,21/09/2017 20:55,21/09/2017 21:05
